Gene_name,GENE_ID,TB_HIGH1,TB_HIGH2,TB_HIGH3,TB_LOW1,TB_LOW2,TB_LOW3,TB_AM1,TB_AM2,TB_AM3,TB_IM1,TB_IM2,TB_IM3
WhiB5,Rv0022c,1.049585749,0,0.768435943,0,0,0,3.961086535,3.295056165,2.257629472,2.701248976,0.934508073,0
BioF2,Rv0032,12.59502898,15.63632861,17.67402668,28.55769884,56.45320376,0,27.72760575,18.67198494,11.28814736,12.15562039,7.476064587,13.83032135
FadD34,Rv0035,10.49585749,6.254531444,11.52653914,0,0,13.05223534,9.242535249,9.335992468,7.525431572,2.025936732,2.80352422,4.881289888
Mtc28,Rv0040c,72.42141665,178.2541462,66.85392701,108.8762268,55.04187367,112.5755298,378.9439452,91.7123966,142.2306567,37.14217342,59.80851669,51.25354383
LeuS,Rv0041,151.1403478,129.7815275,83.75951775,53.54568532,80.44581536,156.6268241,150.5212883,144.9824713,121.9119915,101.9721489,71.02261357,104.1341843
Ino1,Rv0046c,217.26425,214.217702,335.038071,344.4772422,254.0394169,305.0960012,664.1421758,480.5290241,404.8682186,590.8982136,684.0599097,738.7018698
PonA1,Rv0050,234.0576219,96.94523738,245.8995016,105.3065145,283.6773489,334.4635307,238.3253732,269.6454295,331.8715323,266.7483364,287.8284866,277.4199753
RpsF,Rv0053,23.09088647,20.32722719,19.97933451,19.63341795,26.81527179,39.15670603,53.47466823,43.38490617,33.11189892,32.41498772,32.70778257,30.10128764
Ssb,Rv0054,172.1320628,125.0906289,147.539701,124.9399324,138.3103492,78.31341206,149.8611073,156.5151678,155.7764335,160.7243141,158.8663725,193.6244989
RplI,Rv0056,89.21478863,57.85441586,126.0234946,57.11539768,73.38916489,66.89270613,120.8131393,145.5316473,89.5526357,135.7377611,114.944493,130.9812787
DnaB,Rv0058,651.7927499,748.9801404,723.8666579,398.0229276,541.9507561,362.1995308,744.6842686,1165.900706,928.638256,1155.45925,1118.606164,1187.780539
CelA1,Rv0062,18.89254347,4.690898583,29.20056582,62.46996621,0,37.52517661,91.10499031,76.88464385,84.2848336,49.29779382,44.85638752,52.06709214
VapC1,Rv0065,22.04130072,6.254531444,17.67402668,0,19.75862132,22.84141185,36.970141,17.02445685,15.8034063,19.58405508,24.29720991,23.59290113
Icd2,Rv0066c,138.5453188,70.36347875,98.35980066,99.95194594,163.7142909,184.3628242,223.1412082,253.1701487,176.8476419,113.452457,129.8966222,133.4219236
SdaA,Rv0069c,17.84295773,28.1453915,26.89525799,28.55769884,15.52463103,0,33.00905446,29.65550549,42.1424168,14.18155713,10.27958881,17.08451461
GlyA2,Rv0070c,30.43798671,14.07269575,17.67402668,46.40626061,47.9852232,4.894588254,25.08688139,21.9670411,22.57629472,13.50624488,10.27958881,12.20322472
HycD,Rv0084,150.090762,217.3449677,127.5603665,192.7644672,98.79310658,92.99717682,101.0077066,92.26157262,60.20345257,150.5946304,132.7001464,91.11741125
HycP,Rv0085,51.42970168,43.78172011,74.53828643,0,11.29064075,0,43.57195189,46.13078631,28.59663997,74.95965909,70.0881055,39.86386742
HycQ,Rv0086,121.7519468,150.1087547,172.8980871,158.8521998,64.92118432,177.8367066,101.6678877,120.8187261,77.51194519,182.3343059,146.7177675,131.794827
HycE,Rv0087,71.3718309,54.72715014,72.23297861,87.45795269,9.879310658,52.20894137,45.55249516,59.31101097,44.40004627,85.764655,57.93950055,47.99935057
Mtn,Rv0091,9.446271737,3.127265722,8.452795369,0,0,0,11.22307852,6.59011233,24.08138103,6.077810197,3.738032293,0.813548315
CtpA,Rv0092,103.9089891,129.7815275,100.6651085,44.62140444,49.39655329,27.7360001,92.42535249,62.60606714,85.03737676,72.25841012,72.89162972,95.18515282
PPE1,Rv0096,15.74378623,15.63632861,3.842179713,67.82453474,0,0,5.941629803,3.844232193,6.772888415,1.350624488,0.934508073,2.440644944
FcoT,Rv0098,16.79337198,9.381797166,9.989667254,35.69712355,0,52.20894137,6.601810892,7.139288358,7.525431572,6.077810197,1.869016147,10.57612809
FadD10,Rv0099,110.2065036,71.92711161,59.93800352,16.0637056,59.27586395,79.94494148,32.34887337,62.60606714,60.95599573,24.98655303,34.57679871,55.3212854
Nrp,Rv0101,315.9253103,228.2903977,297.3847098,253.4495772,297.7906498,143.5745888,136.6574855,205.3918343,201.6815661,194.4899263,225.2164457,192.8109506
CtpB,Rv0103c,80.81810264,79.74527591,99.1282366,110.661083,57.86453385,172.9421183,142.5991153,118.6220219,121.9119915,108.7252713,112.1409688,105.7612809
CtpI,Rv0107c,143.7932476,154.7996532,177.5087027,91.02766505,136.8990191,138.6800005,279.9167818,149.3758795,186.630703,127.6340141,132.7001464,141.5574068
PE_PGRS1,Rv0109,9.446271737,3.127265722,12.29497508,0,0,0,29.04796793,10.98352055,8.277974729,8.779059173,18.69016147,10.57612809
Gca,Rv0112,46.18177294,53.16351728,54.55895193,112.4459392,80.44581536,52.20894137,23.76651921,56.56513083,53.43056416,49.29779382,42.0528633,60.20257529
GmhB,Rv0114,17.84295773,0,11.52653914,16.0637056,25.40394169,65.26117672,12.5434407,24.16374521,13.54577683,10.12968366,7.476064587,6.508386518
HddA,Rv0115,40.93384419,78.18164305,74.53828643,215.9675975,15.52463103,48.94588254,14.52398396,29.10632946,39.13224417,21.60999181,22.42819376,20.33870787
LdtA,Rv0116c,72.42141665,45.34535297,45.33772061,12.49399324,47.9852232,0,75.26064417,64.80277125,48.91530522,44.57060811,47.65991174,58.57547866
OxyS,Rv0117,10.49585749,26.58175864,31.50587365,26.77284266,0,0,28.38778684,26.36044932,21.0712084,22.9606163,22.42819376,24.40644944
OxcA,Rv0118c,25.19005797,1.563632861,34.57961742,0,70.5665047,14.68376476,34.32941664,33.49973768,32.35935576,32.41498772,29.90425835,30.91483596
FadD7,Rv0119,13.64461473,6.254531444,9.221231311,0,0,9.789176508,38.95068426,12.08187261,10.5356042,16.8828061,13.08311303,10.57612809
FusA2,Rv0120c,46.18177294,73.49074447,59.16956758,0,45.16256301,17.9468236,119.4927771,101.5975651,66.97634099,93.19308968,94.38531541,83.79547642
PE_PGRS2,Rv0124,5.247928743,6.254531444,19.97933451,19.63341795,0,0,4.621267625,9.335992468,7.525431572,4.727185709,4.672540367,6.508386518
PepA,Rv0125,130.1486328,129.7815275,166.7505995,239.1707278,66.33251442,166.4160006,242.9466408,134.5481267,176.8476419,141.8155713,127.093098,135.0490202
TreS,Rv0126,121.7519468,121.9633632,100.6651085,82.10338416,112.9064075,76.68188264,145.2398396,146.0808233,97.83061043,123.5821407,130.8311303,124.4728922
Mak,Rv0127,140.6444903,90.69070594,136.7815978,105.3065145,103.0270969,132.1538829,128.0751313,105.4417973,133.952682,142.4908835,107.4684284,136.6761169
FbpC,Rv0129c,59.82638767,35.9635558,77.6120302,87.45795269,160.8916307,81.5764709,498.4367224,242.7358042,255.1121303,89.81652846,103.7303961,126.0999888
FadE1,Rv0131c,44.08260144,10.94543003,30.7374377,24.98798648,0,4.894588254,40.27104644,25.26209727,24.08138103,16.20749386,38.31483101,28.47419102
Fgd2,Rv0132c,39.88425845,3.127265722,10.7581032,0,22.5812815,16.31529418,18.4850705,18.67198494,12.79323367,8.103746929,28.0352422,13.01677304
EphF,Rv0134,150.090762,236.108562,155.2240604,114.2307954,182.0615821,207.2042361,196.7339646,246.5800364,268.6579071,195.8405508,299.9770915,250.5728809
Cyp138,Rv0136,122.8015326,85.99980736,93.749185,92.81252123,67.74384451,88.10258857,43.57195189,23.61456918,24.83392419,59.42747748,63.54654899,53.69418877
MsrA,Rv0137c,48.28094443,23.45449292,49.17990033,94.5973774,63.50985423,24.47294127,32.34887337,43.9340822,38.37970102,42.54467138,40.18384715,39.86386742
FadE2,Rv0154c,132.2478043,107.8906674,111.4232117,3.569712355,80.44581536,199.046589,93.74571467,80.72887605,82.77974729,81.03746929,72.89162972,92.74450788
PntAa,Rv0155,47.23135868,12.50906289,19.97933451,85.67309652,21.16995141,30.99905894,68.65883328,55.46677878,88.80009255,45.9212326,45.79089559,54.50773709
PntAb,Rv0156,0,9.381797166,1.536871885,0,5.645320376,32.63058836,25.74706248,23.61456918,24.08138103,12.15562039,12.14860495,8.135483147
PntB,Rv0157,51.42970168,96.94523738,72.23297861,73.17910327,64.92118432,75.05035322,155.8027371,119.171198,178.3527283,97.24496315,115.8790011,122.0322472
PE3,Rv0159c,4.198342994,0,0,0,4.233990282,0,26.40724357,6.040936303,6.020345257,6.077810197,4.672540367,1.627096629
PE4,Rv0160c,0,3.127265722,0.768435943,0,0,0,1.980543268,2.19670411,3.010172629,2.025936732,0,3.254193259
AdhE1,Rv0162c,19.94212922,89.12707308,26.12682205,64.25482239,33.87192226,16.31529418,35.64977882,19.77033699,35.36952839,34.44092445,27.10073413,23.59290113
Mce1R,Rv0165c,14.69420048,21.89086005,30.7374377,0,0,0,44.23213298,40.08985001,48.91530522,31.73967547,49.52892789,52.88064046
FadD5,Rv0166,56.67763042,51.59988441,66.85392701,30.34255502,88.91379592,27.7360001,361.1190558,231.2031076,185.8781598,155.9971284,182.2290743,173.285791
YrbE1A,Rv0167,37.78508695,21.89086005,56.86425975,30.34255502,66.33251442,14.68376476,304.3434821,134.5481267,127.1797936,122.2315162,114.0099849,103.320636
YrbE1B,Rv0168,7.34710024,32.83629008,21.51620639,49.97597297,46.5738931,61.99811788,192.7728781,80.72887605,76.00685887,67.53122441,86.90925082,61.0161236
Mce1A,Rv0169,79.76851689,104.7634017,32.27430959,103.5216583,32.46059216,110.9440004,325.469277,120.8187261,142.9831999,107.3746468,89.71277504,104.9477326
Mce1B,Rv0170,45.13218719,50.03625155,58.40113164,123.1550762,93.1477862,0,224.4615703,93.35992468,107.6136715,70.90778563,68.21908935,78.91418653
Mce1C,Rv0171,107.0577464,148.5451218,115.2653914,105.3065145,183.4729122,112.5755298,450.2435028,145.5316473,185.8781598,108.7252713,115.8790011,95.18515282
Mce1D,Rv0172,64.02473066,64.1089473,70.69610672,17.84856177,112.9064075,102.7863533,370.361591,120.8187261,141.4781135,88.46590397,115.8790011,113.8967641
LprK,Rv0173,24.14047222,29.70902436,43.80084873,0,29.63793197,119.1016475,262.7520735,63.15524317,71.49159993,63.47935094,87.84375889,88.6767663
Mce1F,Rv0174,158.487448,226.7267649,216.6989358,99.95194594,246.9827664,280.6230599,472.0294788,256.4652049,275.4307955,168.828061,207.4607923,187.1161124
LprO,Rv0179c,158.487448,159.4905518,232.8360906,66.03967856,471.3842514,143.5745888,208.6172242,310.2844555,282.9562271,110.0758958,143.9142433,162.7096629
SigG,Rv0182c,281.2889806,275.1993835,328.8905834,373.0349411,230.0468053,243.0978833,244.9271841,454.1685748,376.2715786,330.9029996,476.5991174,466.9767327
BglS,Rv0186,310.6773816,337.744698,338.8802507,182.0553301,184.8842423,249.6240009,407.9919131,544.7826193,527.5327532,820.5043766,1097.112478,836.3276675
IlvD,Rv0189c,332.7186823,237.6721949,289.7003504,248.0950087,183.4729122,254.5185892,227.1022947,263.6044932,281.4511408,264.0470874,241.1030829,220.4715933
Zmp1,Rv0198c,221.4625929,225.163132,159.0662401,108.8762268,328.8399119,171.3105889,191.4525159,177.9330329,231.7832924,187.7368039,171.9494855,169.2180495
MmpL11,Rv0202c,1319.329286,2024.904555,1068.894396,1288.66616,780.465542,1114.334592,513.6208874,454.1685748,475.6072753,636.1441339,632.6619657,610.9747844
MmpL3,Rv0206c,849.1148706,764.616469,983.5980066,922.7706437,829.8620953,814.1331795,833.8087157,806.7395844,742.7600961,904.9184071,744.8029345,846.9037956
PckA,Rv0211,4108.07862,2454.903592,3118.313055,2334.59188,2421.842441,2435.873421,679.9865219,645.8310084,520.7598648,886.0096642,722.3747407,786.7012203
FadD4,Rv0214,37.78508695,42.21808725,54.55895193,21.41827413,29.63793197,16.31529418,29.70814901,30.75385754,33.11189892,22.9606163,24.29720991,27.6606427
FadE3,Rv0215c,40.93384419,37.52718866,23.05307828,53.54568532,14.11330094,0,44.23213298,58.21265892,46.65767574,39.8434224,40.18384715,49.6264472
LipW,Rv0217c,6.297514491,40.65445439,17.67402668,21.41827413,31.04926207,0,32.34887337,24.71292124,31.6068126,20.93467957,21.49368569,13.83032135
LipC,Rv0220,395.6938272,548.8351342,376.5336119,399.8077837,541.9507561,525.3524726,513.6208874,535.9958029,620.8481047,553.7560401,545.7527148,482.4341506
EchA1,Rv0222,32.53715821,95.38160452,39.95866902,28.55769884,29.63793197,53.84047079,92.42535249,138.3923589,155.7764335,102.6474611,124.2895738,128.5406337
Php,Rv0230c,24.14047222,37.52718866,24.58995016,119.5853639,14.11330094,65.26117672,58.75611694,29.65550549,42.1424168,20.25936732,22.42819376,21.15225618
FadE4,Rv0231,8.396685988,9.381797166,22.28464234,71.3942471,2.822660188,32.63058836,77.90136853,30.20468151,31.6068126,32.41498772,29.90425835,13.83032135
NrdB,Rv0233,68.22307366,106.3270346,40.72710496,44.62140444,105.849757,17.9468236,110.2502419,136.1956548,128.6848799,97.24496315,86.90925082,102.5070877
GabD1,Rv0234c,52.47928743,62.54531444,105.2757241,121.3702201,46.5738931,19.57835302,103.648431,137.2940069,188.8883325,106.0240223,126.1585899,92.74450788
AftD,Rv0236c,147.9915905,162.6178175,126.7919305,130.294501,287.9113392,137.0484711,200.6950511,256.4652049,387.5597259,293.0855139,286.8939785,275.7928787
LpqI,Rv0237,31.48757246,59.41804872,50.71677221,69.60939092,134.0763589,91.3656474,122.7936826,102.1467411,133.952682,111.4265203,111.2064607,98.43934608
VapB24,Rv0239,49.33053018,40.65445439,63.01174729,116.0156515,46.5738931,63.6296473,77.24118744,76.33546783,88.80009255,99.27089988,103.7303961,100.0664427
VapC24,Rv0240,15.74378623,14.07269575,45.33772061,42.83654826,29.63793197,13.05223534,31.68869228,65.9011233,39.88478733,41.19404689,51.39794403,73.21934832
HtdX,Rv0241c,15.74378623,39.09082153,31.50587365,58.90025385,1.411330094,16.31529418,105.6289743,102.6959171,96.32552412,81.03746929,60.74302477,73.21934832
FabG4,Rv0242c,44.08260144,21.89086005,92.98074906,82.10338416,84.67980564,13.05223534,254.1697193,236.1456918,294.2443745,187.7368039,206.5262842,210.7090135
FadA2,Rv0243,138.5453188,218.9086005,139.0869056,190.979611,124.1970483,130.5223534,486.5534628,417.3737809,516.2446058,443.6801444,428.9392057,376.6728697
FadE5,Rv0244c,2247.163088,1496.396648,1518.429423,2072.218022,1754.283307,1610.319535,414.593724,517.3238179,438.7326606,831.3093725,656.9591756,636.1947821
SdhA,Rv0248c,39.88425845,35.9635558,28.43212988,0,42.33990282,32.63058836,93.08553358,32.40138562,33.86444207,37.14217342,33.64229064,37.42322248
NirB,Rv0252,374.7021122,365.8900895,341.1855585,412.301777,383.8817856,210.4672949,91.7651714,333.3498487,250.5968713,172.8799345,174.7530097,161.8961146
NirD,Rv0253,35.68591545,15.63632861,37.65336119,0,19.75862132,0,4.621267625,19.22116096,18.06103577,14.85686937,19.62466954,8.949031462
CobU,Rv0254c,7.34710024,26.58175864,4.610615656,0,16.93596113,0,9.902716338,3.844232193,2.257629472,4.727185709,9.345080733,5.694838203
CobQ1,Rv0255c,38.8346727,21.89086005,41.4955409,24.98798648,16.93596113,47.31435312,66.67829001,37.8931459,30.10172629,41.86935913,28.96975027,30.10128764
PPE2,Rv0256c,31.48757246,40.65445439,33.81118148,17.84856177,0,16.31529418,52.15430605,24.71292124,27.09155366,32.41498772,33.64229064,17.89806292
NarK3,Rv0261c,16.79337198,12.50906289,17.67402668,0,0,0,12.5434407,15.9261048,11.28814736,16.8828061,28.0352422,22.77935281
Aac,Rv0262c,46.18177294,70.36347875,30.7374377,17.84856177,39.51724263,76.68188264,42.25158971,87.8681644,65.47125467,56.7262285,52.33245211,52.06709214
OplA,Rv0266c,65.07431641,117.2724646,132.9394181,76.74881563,67.74384451,19.57835302,93.08553358,106.5401493,48.91530522,70.90778563,78.49867816,74.84644495
NarU,Rv0267,2.099171497,0,0.768435943,0,0,0,1.320362178,0,3.762715786,1.350624488,0.934508073,1.627096629
FadD2,Rv0270,1420.089518,1499.523914,1831.951287,1136.953385,975.229095,633.0334142,747.9851741,520.0696981,425.1868838,1516.075988,1479.32628,1369.201814
FadE6,Rv0271c,93.41313162,82.87254163,82.22264586,139.2187818,90.32512602,88.10258857,193.4330591,104.3434452,120.4069051,111.4265203,92.51629926,117.9645056
VapC25,Rv0277c,1.049585749,0,6.147487541,0,25.40394169,0,10.56289743,5.491760275,5.2678021,2.701248976,1.869016147,2.440644944
PE_PGRS3,Rv0278c,31.48757246,17.19996147,33.81118148,46.40626061,22.5812815,0,10.56289743,6.59011233,15.8034063,6.077810197,4.672540367,4.881289888
PE_PGRS4,Rv0279c,77.66934539,53.16351728,45.33772061,30.34255502,32.46059216,48.94588254,43.57195189,21.9670411,33.86444207,14.85686937,18.69016147,13.01677304
PPE3,Rv0280,408.2888562,387.7809495,397.2813823,524.7477162,417.7537078,497.6164725,168.3461777,254.2685007,249.091785,288.3583282,226.1509537,218.0309483
EccA3,Rv0282,2761.460104,2805.157353,3058.375052,2227.500509,2287.766082,2109.567537,1454.37894,1533.848645,1444.882862,2485.149058,2047.507189,2104.64949
EccB3,Rv0283,1939.634463,2006.140961,1855.772801,1458.227497,1275.842405,1381.905417,777.033142,915.4764379,848.1161381,1746.357463,1384.006457,1297.609562
EccC3,Rv0284,3324.038066,3075.665838,3338.854171,2223.930797,2629.307965,2158.51342,1326.303808,1364.153252,1314.692896,2378.449724,1807.338614,1828.856611
PE5,Rv0285,208.867564,281.453915,233.6045266,157.0673436,184.8842423,22.84141185,129.3954935,106.5401493,107.6136715,174.230559,153.259324,148.0657933
PPE4,Rv0286,681.1811508,598.8713858,677.7605014,405.1623523,619.5739113,664.0324731,371.6819532,352.5710097,367.9936039,476.0951321,402.7729796,374.2322248
EsxG,Rv0287,53.52887318,76.61801019,65.31705512,49.97597297,31.04926207,22.84141185,139.9583909,42.28655412,72.99668625,110.751208,95.31982348,84.60902473
EsxH,Rv0288,202.5700495,211.0904362,204.4039607,53.54568532,239.926116,127.2592946,238.3253732,126.3104863,142.2306567,168.1527488,127.093098,113.0832157
EspG3,Rv0289,1246.907869,1977.995569,1132.674579,1886.59298,574.4113483,964.233886,573.0371854,405.2919083,455.2886101,722.5841012,545.7527148,553.212854
EccD3,Rv0290,690.6274225,727.0892804,778.4256099,485.4808803,604.0492802,626.5072965,546.6299419,342.6858412,506.4615448,1013.643678,584.0675458,609.3476877
MycP3,Rv0291,695.8753513,930.3615523,792.2574568,555.0902712,495.376863,574.2983551,545.3095797,381.6773391,500.4411995,806.3228194,653.2211433,577.6193035
EccE3,Rv0292,310.6773816,459.7080611,292.0056582,258.8041457,372.5911448,117.4701181,226.4421136,164.7528083,211.4646272,299.1633241,218.6748892,253.8270742
Tam,Rv0294,3.148757246,25.01812578,9.221231311,0,0,0,9.242535249,7.688464385,12.79323367,6.077810197,7.476064587,13.01677304
PE_PGRS5,Rv0297,191.0246062,295.5266107,149.0765729,71.3942471,122.7857182,159.889883,190.7923348,112.5810856,115.8916462,135.7377611,114.0099849,103.320636
VapB2,Rv0300,99.71064611,201.7086391,104.5072882,30.34255502,134.0763589,114.2070593,73.94028199,84.57310824,65.47125467,89.81652846,87.84375889,80.54128316
VapC2,Rv0301,98.66106036,101.636136,142.9290853,44.62140444,114.3177376,140.3115299,81.86245506,107.6385014,71.49159993,110.751208,127.093098,120.4051506
PPE5,Rv0304c,74.52058815,32.83629008,79.14890209,73.17910327,129.8423686,58.73505905,79.22173071,69.19617947,44.40004627,39.16811016,27.10073413,39.86386742
GlpQ2,Rv0317c,82.91727414,123.526996,81.45420992,35.69712355,74.80049498,48.94588254,73.2801009,118.0728459,104.6034988,108.0499591,114.0099849,111.4561191
Pcp,Rv0319,11.54544323,25.01812578,16.1371548,0,0,0,24.4267003,20.31951302,28.59663997,21.60999181,25.23171798,23.59290113
Dcd,Rv0321,4.198342994,18.76359433,10.7581032,57.11539768,5.645320376,16.31529418,23.76651921,14.82775274,20.31866524,10.12968366,18.69016147,10.57612809
UdgA,Rv0322,115.4544323,109.4543003,77.6120302,71.3942471,56.45320376,26.10447069,13.20362178,15.9261048,21.0712084,13.50624488,14.0176211,8.949031462
Cyp135A1,Rv0327c,24.14047222,7.818164305,23.05307828,53.54568532,46.5738931,3.263058836,3.300905446,6.59011233,0,7.428434685,11.21409688,9.762579777
RmlA,Rv0334,12.59502898,4.690898583,23.82151422,28.55769884,11.29064075,40.78823545,35.64977882,29.10632946,30.85426944,16.8828061,24.29720991,17.89806292
PE6,Rv0335c,2.099171497,12.50906289,1.536871885,0,0,0,8.58235416,7.139288358,3.762715786,3.37656122,2.80352422,6.508386518
AspC,Rv0337c,45.13218719,40.65445439,72.23297861,55.3305415,43.75123291,119.1016475,124.7742259,126.8596624,130.1899662,85.764655,84.1057266,65.89741349
IniB,Rv0341,23.09088647,28.1453915,26.12682205,14.27884942,0,45.6828237,2244.615703,42.28655412,137.7153978,47.94716933,66.35007321,77.2870899
IniA,Rv0342,75.5701739,64.1089473,58.40113164,42.83654826,31.04926207,53.84047079,369.70141,74.13876372,80.52211782,71.58309787,70.0881055,60.20257529
IniC,Rv0343,57.72721617,35.9635558,40.72710496,64.25482239,93.1477862,9.789176508,112.2307852,81.8272281,76.75940203,49.29779382,56.0704844,48.81289888
LpqJ,Rv0344c,0,0,3.07374377,0,0,0,14.52398396,12.63104863,7.525431572,4.051873464,5.60704844,5.694838203
AnsP2,Rv0346c,97.61147462,84.4361745,118.3391352,99.95194594,88.91379592,119.1016475,178.9090752,168.5970404,181.3629009,172.2046222,149.5212917,148.8793416
DnaK,Rv0350,1168.188938,825.5981506,1218.739405,972.7466167,1388.748812,1342.748711,823.2458183,364.6528823,483.8852501,488.2507525,408.3800281,437.6889933
GrpE,Rv0351,302.2806956,226.7267649,264.3419643,190.979611,316.1379411,357.3049425,208.6172242,95.00745276,117.3967325,122.9068284,126.1585899,121.2186989
DnaJ1,Rv0352,556.2804467,620.7622458,519.4626972,596.1419633,527.8374552,593.8767081,284.5380495,179.580561,249.091785,317.3967547,247.6446394,241.6238495
HspR,Rv0353,40.93384419,32.83629008,48.41146439,123.1550762,9.879310658,35.89364719,42.25158971,25.81127329,21.82375156,44.57060811,42.98737137,30.91483596
PPE7,Rv0354c,0,6.254531444,5.379051598,0,11.29064075,0,6.601810892,3.844232193,0.752543157,4.727185709,2.80352422,0
PPE8,Rv0355c,175.28082,71.92711161,170.5927793,158.8521998,251.2167567,101.1548239,194.7534213,207.0393624,188.1357893,190.4380528,190.639647,221.2851416
PurA,Rv0357c,14.69420048,10.94543003,19.97933451,0,5.645320376,3.263058836,52.15430605,43.9340822,44.40004627,24.31124079,27.10073413,24.40644944
MgtE,Rv0362,22.04130072,7.818164305,28.43212988,49.97597297,8.467980564,24.47294127,25.08688139,77.98299591,38.37970102,33.7656122,36.44581486,29.28773933
Fba,Rv0363c,136.4461473,156.3632861,162.1399839,187.4098986,357.0665138,185.9943536,253.5095383,209.7852425,247.5866987,160.7243141,166.3424371,199.3193371
SecE2,Rv0379,13.64461473,12.50906289,11.52653914,0,5.645320376,0,17.16470832,11.53269658,6.020345257,8.103746929,11.21409688,5.694838203
PyrE,Rv0382c,71.3718309,54.72715014,47.64302844,39.2668359,64.92118432,57.10352963,56.77557367,99.40086098,106.1085852,77.66090807,75.69515394,95.99870114
ClpB,Rv0384c,966.6684744,1021.052258,994.3561097,1611.725128,1178.460628,1013.179769,312.9258363,103.2450932,131.6950525,448.4073301,355.1130679,343.3173888
PurT,Rv0389,51.42970168,28.1453915,73.76985049,14.27884942,23.9926116,26.10447069,54.7950304,73.04041166,44.40004627,69.55716114,87.84375889,69.96515507
MetZ,Rv0391,287.5864951,93.81797166,275.1000675,135.6490695,210.288184,179.468236,116.1918717,140.589063,162.5493219,193.1393018,203.72276,174.0993394
NdhA,Rv0392c,25.19005797,10.94543003,22.28464234,0,76.21182508,9.789176508,47.53303842,48.32749042,35.36952839,44.57060811,60.74302477,56.13483372
LpqK,Rv0399c,41.98342994,25.01812578,36.1164893,32.12741119,55.04187367,21.20988243,22.44615703,34.04891371,30.10172629,43.89529586,44.85638752,35.79612585
FadE7,Rv0400c,123.8511183,151.6723875,106.0441601,151.7127751,156.6576404,115.8385887,91.10499031,63.70441919,69.98651362,77.66090807,85.97474275,73.21934832
MmpL1,Rv0402c,25.19005797,9.381797166,23.05307828,0,28.22660188,34.26211778,32.34887337,46.67996234,42.1424168,23.63592854,31.77327449,28.47419102
MmpS1,Rv0403c,0,0,1.536871885,14.27884942,11.29064075,0,17.82488941,2.745880138,12.79323367,10.80499591,6.541556513,7.321934832
FadD30,Rv0404,15.74378623,34.39992294,27.66369393,32.12741119,16.93596113,57.10352963,20.46561377,40.63902604,20.31866524,18.90874283,19.62466954,20.33870787
Pks6,Rv0405,91.31396012,120.3997303,96.05449283,117.8005077,138.3103492,99.52329449,72.61991981,84.02393221,83.53229045,68.20653665,70.0881055,76.47354158
Fgd1,Rv0407,61.92555916,79.74527591,32.27430959,17.84856177,94.5591163,19.57835302,47.53303842,42.28655412,62.46108205,58.07685299,54.20146825,61.82967192
Pta,Rv0408,90.26437438,71.92711161,80.68577398,215.9675975,179.2389219,101.1548239,81.20227397,107.6385014,130.9425093,97.24496315,105.5994123,103.320636
