GENE_ID,GO_Term,GO_Ontology,GO_Link
Rv1098c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv1240,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv1248c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv1475c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv1731,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv2454c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv3339c,tricarboxylic acid cycle ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006099
Rv0066c,isocitrate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006102
Rv0467,isocitrate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006102
Rv1915,isocitrate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006102
Rv3339c,isocitrate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006102
Rv1240,oxaloacetate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006107
Rv2498c,oxaloacetate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006107
Rv3075c,oxaloacetate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006107
Rv1098c,malate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006108
Rv1240,malate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006108
Rv2332,malate metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006108
Rv3307,adenosine catabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006154
Rv3313c,adenosine catabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006154
Rv0780,purine nucleotide biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006164
Rv0803,purine nucleotide biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006164
Rv0386,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv1264,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv1318c,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv1319c,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv1625c,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv1647,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv1900c,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv2212,cAMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006171
Rv3396c,GMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006177
Rv3411c,GMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006177
Rv3624c,GMP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006177
Rv1232c,GTP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006183
Rv3232c,GTP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006183
Rv3410c,GTP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006183
Rv3411c,GTP biosynthetic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006183
Rv0805,cAMP catabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006198
Rv3645,cAMP catabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006198
Rv1021,dGTP catabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006203
Rv2344c,dGTP catabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006203
Rv1092c,pyrimidine nucleobase metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006206
Rv3309c,pyrimidine nucleobase metabolic process ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006206
Rv3048c,DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006260
Rv3051c,DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006260
Rv1629,DNA-dependent DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006261
Rv3644c,DNA-dependent DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006261
Rv3721c,DNA-dependent DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006261
Rv0005,DNA topological change ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006265
Rv0006,DNA topological change ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006265
Rv3014c,DNA ligation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006266
Rv3062,DNA ligation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006266
Rv0058,DNA unwinding involved in DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006268
Rv1402,DNA unwinding involved in DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006268
Rv0001,DNA replication initiation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006270
Rv1402,DNA replication initiation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006270
Rv2943A,DNA strand elongation involved in DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006271
Rv2944,DNA strand elongation involved in DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006271
Rv3427c,DNA strand elongation involved in DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006271
Rv3638,DNA strand elongation involved in DNA replication ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006271
Rv3062,lagging strand elongation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006273
Rv3731,lagging strand elongation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006273
Rv0944,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv1629,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv2232,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv2464c,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv2924c,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv3113,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv3297,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv3370c,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv3394c,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv3395c,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv3674c,DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006281
Rv0670,base-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006284
Rv1259,base-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006284
Rv1688,base-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006284
Rv2924c,base-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006284
Rv2976c,base-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006284
Rv0142,base-excision repairAP site formation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006285
Rv1317c,base-excision repairAP site formation ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006285
Rv0944,nucleotide-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006289
Rv2464c,nucleotide-excision repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006289
Rv0003,double-strand break repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006302
Rv0631c,double-strand break repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006302
Rv0949,double-strand break repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006302
Rv1402,double-strand break repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006302
Rv0937c,double-strand break repair via nonhomologous end joining ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006303
Rv0938,double-strand break repair via nonhomologous end joining ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006303
Rv0142,DNA dealkylation involved in DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006307
Rv1316c,DNA dealkylation involved in DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006307
Rv1317c,DNA dealkylation involved in DNA repair ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006307
Rv0631c,DNA recombination ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006310
Rv1402,DNA recombination ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006310
Rv0042c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0067c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0078,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0135c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0330c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0465c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0472c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0491,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0639,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0653c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0678,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0735,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0737,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv0981,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1019,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1049,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1129c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1219c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1222,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1267c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1364c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1365c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1404,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1675c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1776c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1816,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1846c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1904,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1909c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1930c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv1985c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2034,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2069,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2160A,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2358,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2638,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2640c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2642,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2711,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2865,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv2887,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3066,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3124,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3160c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3167c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3208,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3223c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3295,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3357,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
Rv3418c,regulation of transcriptionDNA-templated ,biological_process,http://amigo.geneontology.org/amigo/term/GO:0006355
